gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000196378,ZNF34,8,0.329,3.08,0.233,0.316026,0.319
ENSG00000196502,SULT1A1,16,0.165,5.05,0.354,0.421354,0.12
ENSG00000196510,ANAPC7,12,0.131,5.03,0.152,0.13523,0.129
ENSG00000196724,ZNF418,19,0.115,3.2,0.243,0.287451,-0.07
ENSG00000196821,C6orf106,6,0.25,6.98,0.263,0.453481,0.087
ENSG00000197020,ZNF100,19,0.4,2.45,0.355,0.331595,0.393
ENSG00000197363,ZNF517,8,0.189,3.81,0.259,0.261146,-0.068
ENSG00000197563,PIGN,18,0.12,3.57,0.221,0.382592,0.137
ENSG00000198130,HIBCH,2,0.293,4.05,0.342,0.555833,0.204
ENSG00000198168,SVIP,11,0.13,5.4,0.253,0.188459,0.155
ENSG00000198169,ZNF251,8,0.198,4.02,0.31,0.187411,0.19
ENSG00000198231,DDX42,17,0.228,6.48,0.197,0.395317,0.097
ENSG00000198502,HLA-DRB5,6,0.588,-0.03,2.88,0.838438,0.553
ENSG00000198646,NCOA6,20,0.221,5.33,0.206,0.286053,0.076
ENSG00000198951,NAGA,22,0.141,3.33,0.309,0.41773,0.136
ENSG00000204947,ZNF425,7,0.291,2.44,0.259,0.286746,0.091
ENSG00000205560,CPT1B,22,0.193,3.83,0.527,0.528124,0.146
ENSG00000205659,LIN52,14,0.312,3.55,0.236,0.601195,0.332
ENSG00000205704,LINC00634,22,0.287,3.71,0.485,,0.269
ENSG00000205763,RP9P,7,0.168,3.71,0.301,,0.073
ENSG00000205959,AC105345.1,4,0.163,1.4,0.887,0.38529,-0.029
ENSG00000213123,TCTEX1D2,3,0.151,2.27,0.338,0.10839,0.143
ENSG00000213221,DNLZ,9,0.184,2.32,0.453,0.506845,-0.078
ENSG00000213625,LEPROT,1,0.126,4.88,0.418,0.516492,0.136
ENSG00000213722,DDAH2,6,0.175,4.38,0.369,0.259463,-0.0
ENSG00000213888,LINC01521,22,0.145,1.68,0.45,,0.008
ENSG00000213977,TAX1BP3,17,0.117,4.17,0.375,,0.088
ENSG00000214046,SMIM7,19,0.201,5.28,0.189,0.197233,-0.007
ENSG00000214078,CPNE1,20,0.32,5.29,0.252,0.640062,0.396
ENSG00000214174,AMZ2P1,17,0.217,3.97,0.165,,0.203
ENSG00000214279,SCART1,10,0.142,1.67,0.866,0.506436,-0.246
ENSG00000214435,AS3MT,10,0.465,3.04,0.354,0.607643,0.547
ENSG00000214765,SEPT7P2,7,0.122,3.48,0.332,,0.137
ENSG00000215039,CD27-AS1,12,0.299,4.3,0.246,,0.274
ENSG00000215190,LINC00680,6,0.476,2.36,0.574,,-0.223
ENSG00000218510,LINC00339,1,0.174,1.99,0.353,0.601712,-0.012
ENSG00000225465,RFPL1S,22,0.154,6.07,0.391,,0.078
ENSG00000225706,PTPRD-AS1,9,0.48,1.92,0.419,0.4231,0.476
ENSG00000226752,CUTALP,9,0.789,3.67,0.702,,-0.011
ENSG00000227372,TP73-AS1,1,0.117,4.24,0.218,,0.043
ENSG00000227827,AC138969.2,16,0.197,0.61,2.682,,-0.417
ENSG00000227953,LINC01341,1,0.133,1.65,0.57,,0.212
ENSG00000228274,AL021707.2,22,0.154,1.54,0.347,,0.102
ENSG00000228672,PROB1,5,0.251,2.43,0.372,0.379605,0.28
ENSG00000228716,DHFR,5,0.733,4.3,0.517,0.831218,0.753
ENSG00000229980,TOB1-AS1,17,0.215,1.58,0.375,,0.129
ENSG00000230091,TMEM254-AS1,10,0.36,1.89,0.392,,0.343
ENSG00000230373,GOLGA6L5P,15,0.123,2.92,0.497,,0.255
ENSG00000230453,ANKRD18B,9,0.366,3.4,0.44,0.329612,0.386
ENSG00000231437,LINC01750,1,0.138,2.12,0.441,0.584227,-0.065
ENSG00000232098,AC012313.1,19,0.116,2.93,0.264,,0.076
ENSG00000232653,GOLGA8N,15,0.157,3.51,0.376,0.42486,0.089
ENSG00000233006,MIR3936HG,5,0.13,1.65,0.343,,0.112
ENSG00000233276,GPX1,3,0.176,5.76,0.307,0.453021,-0.202
ENSG00000234327,AC012146.1,17,0.225,1.39,0.362,,-0.091
ENSG00000235314,LINC00957,7,0.189,4.39,0.305,0.137558,0.152
ENSG00000235370,DNM1P51,15,0.156,2.03,0.535,,-0.115
ENSG00000235501,AC105942.1,1,0.116,1.53,0.402,,0.042
ENSG00000235531,MSC-AS1,8,0.133,1.65,0.549,,0.193
ENSG00000235903,CPB2-AS1,13,0.418,2.19,0.586,,0.38
ENSG00000235954,TTC28-AS1,22,0.118,3.79,0.221,,0.058
ENSG00000236816,ANKRD20A7P,9,0.544,1.08,1.096,,0.559
ENSG00000237517,DGCR5,22,0.233,5.36,0.412,,-0.154
ENSG00000238083,LRRC37A2,17,0.333,5.14,0.659,0.695355,-0.211
ENSG00000238105,GOLGA2P5,12,0.122,2.02,0.464,,-0.124
ENSG00000239389,PCDHA13,5,0.386,1.59,1.015,0.365781,0.376
ENSG00000239521,GATS,7,0.216,6.21,0.281,,0.177
ENSG00000239672,NME1,17,0.141,5.21,0.36,0.413715,0.183
ENSG00000239704,CDRT4,17,0.295,3.18,0.946,0.300411,0.11
ENSG00000240344,PPIL3,2,0.609,3.05,0.341,0.748118,-0.255
ENSG00000241945,PWP2,21,0.172,1.93,1.608,0.826842,0.461
ENSG00000242110,AMACR,5,0.304,3.52,0.411,0.718539,-0.36
ENSG00000242686,AC107464.1,4,0.288,1.92,0.812,,0.284
ENSG00000242779,ZNF702P,19,0.207,1.47,0.549,,0.154
ENSG00000242866,STRC,15,0.261,3.73,0.573,0.468884,0.306
ENSG00000243477,NAT6,3,0.19,2.74,0.542,0.416535,-0.189
ENSG00000243646,IL10RB,21,0.231,2.9,0.314,0.687766,0.178
ENSG00000244045,TMEM199,17,0.223,3.5,0.159,,0.104
ENSG00000244879,GABPB1-AS1,15,0.382,5.45,0.529,,0.328
ENSG00000245573,BDNF-AS,11,0.187,2.12,0.418,,0.19
ENSG00000246067,RAB30-AS1,11,0.293,1.75,0.288,0.348722,0.2
ENSG00000247572,CKMT2-AS1,5,0.317,2.31,0.357,,0.093
ENSG00000248593,DSTNP2,12,0.166,1.87,0.301,,0.209
ENSG00000250312,ZNF718,4,0.339,2.0,0.516,0.613045,0.283
ENSG00000250366,TUNAR,14,0.194,3.94,0.503,0.315695,-0.056
ENSG00000251022,THAP9-AS1,4,0.144,4.07,0.379,,0.107
ENSG00000253982,AC100810.1,8,0.262,2.73,0.325,,-0.091
ENSG00000254635,WAC-AS1,10,0.22,4.48,0.334,,0.128
ENSG00000256269,HMBS,11,0.371,2.63,0.301,0.419582,0.26
ENSG00000259417,CTXND1,15,0.152,3.88,0.455,0.337842,-0.048
ENSG00000259865,AL390728.6,1,0.313,1.53,0.437,0.371519,0.251
ENSG00000259994,AL353796.1,10,0.236,2.49,0.303,,0.206
ENSG00000260077,AC104794.2,2,0.246,1.68,0.393,0.317017,0.125
ENSG00000260563,AC132872.1,17,0.208,2.21,0.359,,0.223
ENSG00000260708,AL118516.1,22,0.508,1.48,0.485,,0.391
ENSG00000260855,AL591848.4,1,0.205,1.66,0.386,,0.117
ENSG00000261126,RBFADN,18,0.428,1.6,0.59,0.682463,0.101
ENSG00000261338,AC021016.2,2,0.645,1.79,0.467,,0.624
ENSG00000261377,PDCD6IPP2,15,0.203,2.96,0.587,,0.037
ENSG00000261451,AC104964.2,8,0.165,2.35,0.445,,0.169
ENSG00000261556,SMG1P7,16,0.354,3.21,0.509,,0.328
ENSG00000265018,AGAP12P,10,0.32,1.28,1.268,,-0.399
ENSG00000266904,LINC00663,19,0.131,1.85,0.348,0.447875,0.293
ENSG00000268069,AC004466.1,12,0.147,1.78,0.375,,-0.183
ENSG00000270028,AC079315.1,12,0.15,1.64,0.428,,0.224
ENSG00000273018,AC107983.2,17,0.315,2.63,1.552,,0.334
ENSG00000273253,AL022328.4,22,0.342,0.87,0.801,,0.119
ENSG00000274180,NATD1,17,0.158,3.2,0.301,,0.138
ENSG00000274253,AC138649.1,15,0.3,3.39,0.378,,0.32
ENSG00000274602,PI4KAP1,22,0.322,3.94,0.983,,-0.227
ENSG00000274828,AC068473.5,18,0.209,1.76,0.359,0.534362,0.422
ENSG00000275835,TUBGCP5,15,0.152,3.74,0.36,0.232948,0.115
ENSG00000276462,BX255923.2,9,0.155,2.18,1.032,0.121786,0.105
ENSG00000276805,AL133216.2,10,0.199,1.9,0.443,,0.258
ENSG00000277072,STAG3L2,7,0.172,3.81,0.282,,0.152
ENSG00000277283,AC004812.2,12,0.136,1.57,0.412,,0.108
ENSG00000277715,AC079174.2,12,0.138,1.46,0.381,,-0.1
ENSG00000278558,TMEM191B,22,0.474,0.51,1.15,,-0.337
ENSG00000278730,AC005332.9,17,0.22,4.85,0.223,,0.207
ENSG00000278784,AL136295.7,14,0.152,2.22,0.282,,0.142
ENSG00000279026,AC005225.5,14,0.165,2.49,0.37,,0.004
ENSG00000279233,AC122688.3,12,0.326,2.09,0.542,,0.331
ENSG00000279267,AL078621.3,2,0.6,2.34,0.572,,0.404
ENSG00000279453,Z99129.4,6,0.195,4.75,0.317,,0.135
ENSG00000279672,AP006621.5,11,0.188,1.43,0.792,,-0.123
ENSG00000279744,AC132938.6,17,0.123,1.56,0.541,,0.152
ENSG00000280670,CCDC163,1,0.487,1.97,0.695,0.793738,0.417
ENSG00000282033,AC074387.1,2,0.208,1.52,0.437,,0.19
ENSG00000283709,FAM238C,10,0.158,3.04,0.591,,0.193
