gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000100058,CRYBB2P1,22,0.12,3.47,0.362,,0.142
ENSG00000100325,ASCC2,22,0.212,4.03,0.263,0.240525,0.089
ENSG00000100376,FAM118A,22,0.273,3.97,0.674,0.824837,0.147
ENSG00000100483,VCPKMT,14,0.282,2.56,0.314,0.365639,0.267
ENSG00000100889,PCK2,14,0.158,2.0,0.422,0.23847,0.157
ENSG00000100983,GSS,20,0.121,4.16,0.348,,0.126
ENSG00000101017,CD40,20,0.142,1.33,0.478,0.146541,0.146
ENSG00000101104,PABPC1L,20,0.208,2.18,0.561,0.355811,0.196
ENSG00000101161,PRPF6,20,0.172,6.03,0.203,,0.169
ENSG00000101751,POLI,18,0.248,4.11,0.24,0.468446,0.249
ENSG00000103723,AP3B2,15,0.144,6.41,0.339,0.225272,0.146
ENSG00000103966,EHD4,15,0.179,3.17,0.338,0.18958,0.187
ENSG00000104412,EMC2,8,0.12,4.69,0.264,0.279098,-0.087
ENSG00000104979,C19orf53,19,0.201,4.85,0.234,0.277538,-0.158
ENSG00000105248,CCDC94,19,0.255,3.55,0.255,0.427753,-0.217
ENSG00000105497,ZNF175,19,0.226,3.72,0.188,0.166933,0.213
ENSG00000105793,GTPBP10,7,0.197,4.15,0.224,0.203065,0.244
ENSG00000106733,NMRK1,9,0.552,3.52,0.37,0.797782,0.571
ENSG00000106771,TMEM245,9,0.154,6.78,0.23,0.459907,0.145
ENSG00000106993,CDC37L1,9,0.14,4.47,0.233,,-0.099
ENSG00000107614,TRDMT1,10,0.185,2.1,0.274,,0.176
ENSG00000109771,LRP2BP,4,0.205,3.48,0.343,0.414888,0.123
ENSG00000109854,HTATIP2,11,0.422,3.22,0.298,0.462697,0.424
ENSG00000110274,CEP164,11,0.135,4.98,0.302,,-0.163
ENSG00000110871,COQ5,12,0.167,3.43,0.199,0.490023,-0.24
ENSG00000111696,NT5DC3,12,0.159,5.5,0.409,,0.16
ENSG00000111832,RWDD1,6,0.14,5.27,0.222,,0.121
ENSG00000111906,HDDC2,6,0.505,5.39,0.276,0.651457,0.398
ENSG00000112110,MRPL18,6,0.389,4.43,0.264,0.476883,0.333
ENSG00000112144,ICK,6,0.164,4.03,0.277,,0.156
ENSG00000112149,CD83,6,0.261,4.1,0.341,0.199633,0.268
ENSG00000112306,RPS12,6,0.161,6.97,0.273,,0.118
ENSG00000112852,PCDHB2,5,0.299,1.64,0.409,0.327488,-0.168
ENSG00000112874,NUDT12,5,0.132,3.22,0.374,0.324298,-0.188
ENSG00000113971,NPHP3,3,0.264,4.0,0.421,0.692165,-0.344
ENSG00000114331,ACAP2,3,0.277,4.87,0.276,0.459129,0.283
ENSG00000114770,ABCC5,3,0.136,6.59,0.277,0.322418,-0.012
ENSG00000115944,COX7A2L,2,0.284,5.64,0.27,0.725664,0.103
ENSG00000116830,TTF2,1,0.162,2.62,0.368,0.548583,-0.344
ENSG00000116857,TMEM9,1,0.125,5.83,0.205,0.331008,0.129
ENSG00000118181,RPS25,11,0.182,7.25,0.224,0.361467,-0.144
ENSG00000118762,PKD2,4,0.15,4.59,0.24,0.316468,0.139
ENSG00000118816,CCNI,4,0.121,8.3,0.25,,0.111
ENSG00000119227,PIGZ,3,0.127,3.57,0.367,0.530577,-0.077
ENSG00000119326,CTNNAL1,9,0.199,3.41,0.28,0.192106,0.231
ENSG00000119392,GLE1,9,0.231,3.87,0.159,,0.216
ENSG00000119599,DCAF4,14,0.143,2.91,0.268,,-0.007
ENSG00000119632,IFI27L2,14,0.15,4.31,0.3,0.293424,0.299
ENSG00000119673,ACOT2,14,0.309,3.83,0.338,0.516525,0.265
ENSG00000119899,SLC17A5,6,0.147,3.78,0.202,,0.048
ENSG00000119943,PYROXD2,10,0.407,1.9,0.466,0.560943,0.32
ENSG00000119977,TCTN3,10,0.131,3.55,0.241,0.244998,0.112
ENSG00000119979,FAM45A,10,0.376,4.75,0.165,,0.309
ENSG00000120451,SNX19,11,0.616,5.89,0.228,0.621192,0.633
ENSG00000120539,MASTL,10,0.229,1.85,0.317,,-0.227
ENSG00000120805,ARL1,12,0.173,5.48,0.224,,0.193
ENSG00000120860,WASHC3,12,0.211,3.85,0.217,0.282731,0.202
ENSG00000121068,TBX2,17,0.152,2.6,0.513,,0.128
ENSG00000121864,ZNF639,3,0.164,4.18,0.206,,0.074
ENSG00000122085,MTERF4,2,0.241,4.98,0.172,0.542452,0.158
ENSG00000122335,SERAC1,6,0.211,3.57,0.248,0.27432,0.19
ENSG00000122359,ANXA11,10,0.197,6.5,0.244,0.554132,-0.001
ENSG00000122507,BBS9,7,0.191,3.57,0.256,0.341204,0.259
ENSG00000122515,ZMIZ2,7,0.113,6.77,0.306,0.172513,0.097
ENSG00000122696,SLC25A51,9,0.128,2.69,0.282,0.458434,0.17
ENSG00000122870,BICC1,10,0.273,2.17,0.324,0.20334,-0.276
ENSG00000122971,ACADS,12,0.202,3.23,0.431,0.372515,0.128
ENSG00000123179,EBPL,13,0.326,2.67,0.351,0.569835,0.25
ENSG00000123545,NDUFAF4,6,0.255,4.52,0.303,0.485013,0.103
ENSG00000124006,OBSL1,2,0.121,5.84,0.291,,0.12
ENSG00000124587,PEX6,6,0.488,4.98,0.378,0.663366,0.212
ENSG00000124588,NQO2,6,0.157,5.92,0.306,0.626091,0.182
ENSG00000125124,BBS2,16,0.148,6.32,0.301,,0.111
ENSG00000125375,ATP5S,14,0.235,5.01,0.23,0.356529,0.235
ENSG00000125450,NUP85,17,0.183,3.54,0.251,0.572287,-0.314
ENSG00000125630,POLR1B,2,0.208,3.12,0.206,0.382973,0.066
ENSG00000126216,TUBGCP3,13,0.178,4.04,0.156,,0.101
ENSG00000126456,IRF3,19,0.12,4.51,0.252,0.159619,0.128
ENSG00000126790,L3HYPDH,14,0.427,1.9,0.407,0.544262,0.414
ENSG00000127311,HELB,12,0.415,1.92,0.559,0.478507,0.419
ENSG00000127337,YEATS4,12,0.188,2.37,0.378,0.541011,0.196
ENSG00000127364,TAS2R4,7,0.435,1.92,0.44,0.51194,0.237
ENSG00000127399,LRRC61,7,0.32,1.98,0.478,0.525303,0.416
ENSG00000127903,ZNF835,19,0.166,2.51,0.286,,0.169
ENSG00000128245,YWHAH,22,0.13,8.62,0.402,,0.097
ENSG00000128463,EMC4,15,0.335,5.25,0.212,,0.36
ENSG00000128487,SPECC1,17,0.17,6.5,0.171,,0.187
ENSG00000128534,LSM8,7,0.138,2.81,0.244,0.15624,0.161
ENSG00000128536,CDHR3,7,0.181,2.51,0.311,0.364247,0.088
ENSG00000128891,CCDC32,15,0.222,3.95,0.214,0.620422,0.335
ENSG00000128944,KNSTRN,15,0.752,2.66,0.376,0.77914,0.758
ENSG00000130193,THEM6,8,0.152,4.17,0.352,0.435502,0.026
ENSG00000130348,QRSL1,6,0.546,3.23,0.235,0.639453,-0.222
ENSG00000130363,RSPH3,6,0.24,4.23,0.208,,0.17
ENSG00000130414,NDUFA10,2,0.145,6.6,0.191,0.332796,0.197
ENSG00000130517,PGPEP1,19,0.281,5.49,0.266,0.051938,-0.066
ENSG00000130560,UBAC1,9,0.15,4.95,0.18,,0.035
