gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000107099,DOCK8,9,-0.089,2.28,0.73,0.191765,-0.05
ENSG00000107521,HPS1,10,-0.164,4.91,0.214,0.385009,-0.148
ENSG00000107611,CUBN,10,-0.092,1.62,0.495,,-0.037
ENSG00000108379,WNT3,17,-0.197,3.13,0.581,0.802315,-0.082
ENSG00000108406,DHX40,17,-0.087,4.36,0.184,,-0.038
ENSG00000108592,FTSJ3,17,-0.543,4.43,0.25,0.691818,-0.569
ENSG00000109180,OCIAD1,4,-0.103,6.68,0.219,0.222015,-0.086
ENSG00000109534,GAR1,4,-0.315,2.46,0.275,0.373923,-0.158
ENSG00000109956,B3GAT1,11,-0.093,7.68,0.232,0.237893,-0.082
ENSG00000110074,FOXRED1,11,-0.291,5.03,0.24,0.536924,-0.092
ENSG00000110881,ASIC1,12,-0.123,5.04,0.272,0.029184,-0.0
ENSG00000110906,KCTD10,12,-0.103,4.93,0.172,,0.198
ENSG00000113593,PPWD1,5,-0.152,3.78,0.261,0.186575,-0.143
ENSG00000113597,TRAPPC13,5,-0.132,4.03,0.256,,-0.047
ENSG00000113812,ACTR8,3,-0.222,3.73,0.187,0.207704,0.324
ENSG00000114021,NIT2,3,-0.148,4.34,0.231,0.546343,-0.309
ENSG00000116132,PRRX1,1,-0.236,3.76,0.482,0.43292,-0.147
ENSG00000117899,MESD,15,-0.167,4.67,0.162,0.285872,0.125
ENSG00000118096,IFT46,11,-0.311,4.34,0.183,0.434936,-0.354
ENSG00000118322,ATP10B,5,-0.105,3.06,0.556,0.6027,-0.059
ENSG00000118579,MED28,4,-0.131,6.22,0.133,-0.170282,0.082
ENSG00000118690,ARMC2,6,-0.1,2.04,0.362,0.146898,-0.161
ENSG00000118804,STBD1,4,-0.138,1.5,0.555,0.10763,0.067
ENSG00000118939,UCHL3,13,-0.162,2.54,0.3,0.303305,-0.163
ENSG00000118997,DNAH7,2,-0.222,3.65,0.594,0.359533,-0.06
ENSG00000119321,FKBP15,9,-0.101,4.91,0.154,-0.155039,-0.116
ENSG00000119537,KDSR,18,-0.103,5.24,0.227,,-0.089
ENSG00000120341,SEC16B,1,-0.15,2.79,0.448,,-0.123
ENSG00000120675,DNAJC15,13,-0.68,5.17,0.28,0.820526,-0.556
ENSG00000121350,PYROXD1,12,-0.093,3.41,0.289,0.43394,-0.206
ENSG00000121716,PILRB,7,-0.293,5.02,0.604,0.76421,-0.162
ENSG00000122512,PMS2,7,-0.134,3.82,0.299,0.264002,-0.161
ENSG00000122692,SMU1,9,-0.128,5.52,0.144,,-0.149
ENSG00000122873,CISD1,10,-0.104,4.56,0.302,,-0.109
ENSG00000123297,TSFM,12,-0.385,3.92,0.2,0.371718,-0.313
ENSG00000123453,SARDH,9,-0.183,2.09,0.587,0.618832,0.02
ENSG00000123643,SLC36A1,5,-0.086,4.16,0.392,0.271696,-0.041
ENSG00000123739,PLA2G12A,4,-0.091,4.89,0.196,0.314278,0.194
ENSG00000124164,VAPB,20,-0.127,6.53,0.182,0.39645,-0.127
ENSG00000124380,SNRNP27,2,-0.318,4.68,0.227,0.35068,-0.23
ENSG00000124508,BTN2A2,6,-0.204,1.79,0.46,0.182933,-0.142
ENSG00000124523,SIRT5,6,-0.206,4.59,0.187,0.277829,0.111
ENSG00000125388,GRK4,4,-0.246,3.23,0.227,0.29632,-0.154
ENSG00000125430,HS3ST3B1,17,-0.096,1.13,1.057,0.162173,-0.058
ENSG00000125445,MRPS7,17,-0.161,4.65,0.177,0.246001,-0.172
ENSG00000125734,GPR108,19,-0.27,4.61,0.237,0.704455,-0.268
ENSG00000125818,PSMF1,20,-0.097,5.65,0.139,0.248612,-0.124
ENSG00000125871,MGME1,20,-0.151,2.15,0.348,,0.036
ENSG00000125885,MCM8,20,-0.211,2.4,0.331,0.380703,-0.135
ENSG00000125895,TMEM74B,20,-0.235,3.45,0.376,,-0.223
ENSG00000126432,PRDX5,11,-0.097,6.91,0.249,0.210665,-0.078
ENSG00000126870,WDR60,7,-0.264,5.18,0.24,0.465509,0.11
ENSG00000126934,MAP2K2,19,-0.102,6.13,0.274,,0.209
ENSG00000128059,PPAT,4,-0.141,3.39,0.263,,-0.131
ENSG00000128185,DGCR6L,22,-0.159,4.82,0.295,0.248008,-0.099
ENSG00000128791,TWSG1,18,-0.093,3.78,0.31,0.236496,-0.114
ENSG00000129055,ANAPC13,3,-0.282,4.72,0.22,0.319798,-0.29
ENSG00000129467,ADCY4,14,-0.193,2.52,0.572,,-0.198
ENSG00000130177,CDC16,13,-0.089,5.17,0.169,,-0.053
ENSG00000130347,RTN4IP1,6,-0.129,2.19,0.32,,-0.103
ENSG00000130518,KIAA1683,19,-0.121,1.62,0.662,0.4515,-0.161
ENSG00000130653,PNPLA7,9,-0.091,4.72,0.473,0.512648,0.086
ENSG00000130717,UCK1,9,-0.102,4.99,0.215,,0.008
ENSG00000131018,SYNE1,6,-0.108,8.21,0.193,0.171521,-0.006
ENSG00000131023,LATS1,6,-0.103,4.67,0.205,,-0.089
ENSG00000131069,ACSS2,20,-0.088,4.65,0.216,,-0.13
ENSG00000131435,PDLIM4,5,-0.124,2.74,0.634,0.423856,-0.079
ENSG00000131558,EXOC4,7,-0.093,5.49,0.148,0.352388,-0.038
ENSG00000131966,ACTR10,14,-0.103,4.96,0.278,0.139738,-0.049
ENSG00000132294,EFR3A,8,-0.113,6.62,0.27,0.303492,0.007
ENSG00000132406,TMEM128,4,-0.183,3.08,0.387,0.245846,-0.05
ENSG00000132436,FIGNL1,7,-0.154,2.83,0.288,0.54787,-0.01
ENSG00000132612,VPS4A,16,-0.118,6.64,0.162,0.183821,0.012
ENSG00000133028,SCO1,17,-0.215,4.81,0.216,0.298426,0.235
ENSG00000133433,GSTT2B,22,-0.665,3.01,0.902,0.796565,-0.551
ENSG00000133983,COX16,14,-0.168,3.88,0.224,0.439198,0.204
ENSG00000134070,IRAK2,3,-0.123,2.24,0.456,0.216459,-0.114
ENSG00000134202,GSTM3,1,-0.492,6.47,0.475,0.833203,-0.536
ENSG00000134291,TMEM106C,12,-0.138,3.9,0.245,0.280293,-0.112
ENSG00000134697,GNL2,1,-0.188,3.92,0.199,,-0.181
ENSG00000134815,DHX34,19,-0.088,4.0,0.359,0.308254,-0.023
ENSG00000135702,CHST5,16,-0.088,1.3,0.461,0.164529,0.095
ENSG00000135968,GCC2,2,-0.142,6.51,0.236,,0.076
ENSG00000136059,VILL,3,-0.36,3.27,0.386,0.512541,-0.372
ENSG00000136104,RNASEH2B,13,-0.483,3.73,0.288,0.655297,-0.522
ENSG00000136108,CKAP2,13,-0.357,3.31,0.299,0.568827,0.033
ENSG00000136270,TBRG4,7,-0.11,4.28,0.206,0.340245,0.092
ENSG00000136371,MTHFS,15,-0.182,1.92,0.363,0.291881,-0.153
ENSG00000136457,CHAD,17,-0.222,1.64,0.686,0.542375,-0.19
ENSG00000136810,TXN,9,-0.086,5.12,0.294,0.355366,-0.092
ENSG00000136811,ODF2,9,-0.235,4.43,0.216,0.294911,-0.241
ENSG00000136856,SLC2A8,9,-0.1,3.51,0.293,0.506933,-0.135
ENSG00000137267,TUBB2A,6,-0.094,7.83,0.449,0.24452,-0.085
ENSG00000137269,LRRC1,6,-0.109,2.97,0.421,0.124276,-0.089
ENSG00000138030,KHK,2,-0.106,3.22,0.27,,0.156
ENSG00000138071,ACTR2,2,-0.168,7.02,0.26,,-0.132
ENSG00000138769,CDKL2,4,-0.126,2.83,0.396,0.186283,-0.102
ENSG00000139514,SLC7A1,13,-0.106,5.81,0.308,,0.065
ENSG00000139620,KANSL2,12,-0.244,3.21,0.221,,0.11
ENSG00000141854,MISP3,19,-0.145,3.46,0.293,0.352958,-0.007
ENSG00000141933,TPGS1,19,-0.107,3.02,0.532,,-0.092
ENSG00000141994,DUS3L,19,-0.195,2.87,0.367,0.409638,-0.241
ENSG00000142102,PGGHG,11,-0.219,3.2,0.746,0.652817,0.219
ENSG00000142156,COL6A1,21,-0.101,6.2,0.407,0.453698,0.111
ENSG00000143502,SUSD4,1,-0.23,4.92,0.342,0.488874,-0.245
ENSG00000143891,GALM,2,-0.323,2.22,0.439,0.637649,-0.305
ENSG00000143919,CAMKMT,2,-0.095,2.51,0.336,,-0.04
